subset,measure,n,mean_auto,mean_manual,pearson_r,spearman_rho,icc_2_1,mae
ST2,AR,20,3.6405,3.6198,0.95,0.86,0.948,0.1613
ST2,SR,20,2.3336,2.3802,0.985,0.985,0.983,0.0816
ST2,MLR,20,5.876,6.1815,0.972,0.962,0.968,0.4725
ST2,MCPR,20,0.1111,0.1042,0.977,0.974,0.96,0.01
ST2,ECPR,20,0.0861,0.0844,0.935,0.956,0.935,0.0064
ST2,PR,20,0.1972,0.1887,0.977,0.956,0.965,0.0126
ST2,MCPD,20,0.7564,0.7179,0.91,0.865,0.886,0.0837
ST2,ECPD,20,1.0568,1.0447,0.963,0.92,0.965,0.0916
ST2,MPD,20,0.8927,0.869,0.981,0.958,0.97,0.0563
