AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,file
3.031,1.645,3.86,0.1519,0.1111,0.263,1.033,1.09,1.057,270,164.11,89.07,71,41,30,28,ALL_001_F_GER_ENG_ST1.TextGrid
3.995,1.979,4.66,0.1015,0.1147,0.2162,0.78,1.534,1.18,680,343.69,170.22,147,69,78,95,ALL_003_F_RUS_ENG_ST2.TextGrid
3.194,1.754,3.79,0.183,0.0851,0.2681,0.795,1.311,0.958,235,133.95,73.57,63,43,20,35,ALL_005_M_CMN_ENG_ST1.TextGrid
3.088,1.774,3.55,0.1674,0.1189,0.2863,0.703,1.028,0.838,227,127.97,73.51,65,38,27,29,ALL_008_F_PBR_ENG_ST2.TextGrid
3.921,2.287,5.39,0.1023,0.0852,0.1875,0.744,1.245,0.972,528,230.89,134.67,99,54,45,57,ALL_010_M_RUS_ENG_ST1.TextGrid
3.042,1.828,3.48,0.2019,0.0883,0.2902,0.637,1.014,0.752,317,173.4,104.21,92,64,28,30,ALL_013_M_JPN_ENG_ST2.TextGrid
3.811,2.501,5.17,0.1005,0.0954,0.1959,0.783,0.616,0.702,388,155.13,101.81,76,39,37,51,ALL_014_M_TUR_ENG_ST2.TextGrid
2.94,1.896,3.91,0.125,0.1337,0.2587,0.432,0.996,0.723,344,181.4,117.02,89,43,46,51,ALL_018_F_CMN_ENG_ST1.TextGrid
3.005,1.62,3.5,0.1933,0.1008,0.2941,0.74,1.404,0.968,119,73.47,39.6,35,23,12,14,ALL_023_M_KOR_ENG_ST1.TextGrid
4.992,2.826,5.36,0.0904,0.1017,0.1921,0.767,0.828,0.799,177,62.63,35.46,34,16,18,28,ALL_029_M_TUR_ENG_ST1.TextGrid
3.389,1.982,4.77,0.1236,0.0899,0.2135,0.9,1.094,0.981,267,134.73,78.79,57,33,24,31,ALL_031_M_VIE_ENG_ST2.TextGrid
4.104,2.674,7.75,0.0591,0.0753,0.1344,1.175,0.809,0.97,186,69.57,45.32,25,11,14,27,ALL_034_M_HIN_ENG_ST1.TextGrid
4.055,2.839,6.62,0.0719,0.0791,0.1511,0.681,0.716,0.699,139,48.97,34.28,21,10,11,20,ALL_034_M_HIN_ENG_ST2.TextGrid
3.463,1.747,3.29,0.216,0.092,0.308,0.84,1.111,0.921,250,143.14,72.2,77,54,23,23,ALL_039_M_CMN_ENG_ST2.TextGrid
3.117,2.02,4.29,0.1324,0.1005,0.2329,0.679,0.84,0.749,219,108.43,70.25,51,29,22,27,ALL_043_M_CMN_ENG_ST2.TextGrid
3.503,1.901,4.43,0.1198,0.1106,0.2304,0.742,1.372,1.045,217,114.18,61.94,50,26,24,25,ALL_044_F_FRA_ENG_ST1.TextGrid
3.508,2.252,5.29,0.1152,0.0783,0.1935,0.813,0.835,0.822,217,96.37,61.86,42,25,17,21,ALL_044_F_FRA_ENG_ST2.TextGrid
4.897,3.269,7.27,0.0367,0.1009,0.1376,1.002,0.643,0.739,109,33.34,22.26,15,4,11,16,ALL_046_F_FAR_ENG_ST1.TextGrid
4.202,2.915,6.04,0.0919,0.0772,0.1691,0.564,0.689,0.621,272,93.32,64.73,46,25,21,34,ALL_047_M_FAR_ENG_ST2.TextGrid
2.627,1.176,3.53,0.177,0.115,0.292,1.154,2.309,1.609,113,96.1,43.01,33,20,13,14,ALL_074_F_CCT_ENG_ST2.TextGrid
3.355,1.944,3.23,0.1929,0.1218,0.3147,0.621,0.793,0.687,197,101.33,58.71,62,38,24,27,ALL_075_F_CCT_ENG_ST1.TextGrid
3.42,1.589,4.06,0.1357,0.1156,0.2513,1.15,1.566,1.341,199,125.25,58.19,50,27,23,28,ALL_078_F_CCT_ENG_ST2.TextGrid
4.57,2.129,4.24,0.1179,0.1231,0.241,0.692,1.375,1.041,195,91.58,42.67,47,23,24,26,ALL_087_M_CCT_ENG_ST1.TextGrid
3.695,2.354,3.48,0.1927,0.0945,0.2873,0.506,0.598,0.537,275,116.81,74.42,79,53,26,30,ALL_091_M_TUR_ENG_ST2.TextGrid
3.35,2.331,7.11,0.0751,0.0674,0.1426,0.742,1.107,0.915,519,222.61,154.92,74,39,35,62,ALL_096_F_KOR_ENG_ST2.TextGrid
3.446,1.965,5.18,0.0918,0.1063,0.1981,0.909,1.273,1.104,207,105.35,60.07,41,19,22,32,ALL_097_F_KOR_ENG_ST2.TextGrid
4.28,3.427,13.58,0.0368,0.0429,0.0798,0.673,0.778,0.73,163,47.56,38.08,13,6,7,17,ALL_098_M_GER_ENG_ST2.TextGrid
4.954,3.406,8.08,0.0309,0.0928,0.1237,0.79,0.725,0.741,97,28.48,19.58,12,3,9,16,ALL_099_M_SHS_ENG_ST1.TextGrid
4.689,2.79,7.42,0.0393,0.1011,0.1404,0.824,1.115,1.033,178,63.79,37.96,25,7,18,26,ALL_100_F_SHS_ENG_ST1.TextGrid
4.151,2.799,7.24,0.0773,0.0608,0.1381,0.919,0.745,0.842,181,64.66,43.6,25,14,11,22,ALL_100_F_SHS_ENG_ST2.TextGrid
5.21,4.003,11.74,0.0224,0.0628,0.0852,0.608,0.705,0.68,223,55.71,42.8,19,5,14,26,ALL_102_M_SHS_ENG_ST2.TextGrid
3.889,2.978,11.43,0.0375,0.0458,0.0833,0.493,1.313,0.944,240,80.59,61.71,20,9,11,33,ALL_104_M_SHS_ENG_ST2.TextGrid
3.772,2.477,5.69,0.0603,0.1206,0.1809,0.548,0.875,0.766,199,80.34,52.76,36,12,24,25,ALL_112_F_KOR_ENG_ST1.TextGrid
2.968,1.874,4.43,0.1341,0.0976,0.2317,0.875,0.813,0.849,164,87.52,55.25,38,22,16,18,ALL_113_M_JPN_ENG_ST1.TextGrid
4.56,3.766,10.14,0.0141,0.0704,0.0845,0.67,0.522,0.547,71,18.85,15.57,6,1,5,12,ALL_124_M_SHS_ENG_ST1.TextGrid
3.052,1.761,3.69,0.2288,0.0508,0.2797,0.792,1.162,0.859,118,67.02,38.66,33,27,6,13,ALL_126_M_TUR_ENG_ST1.TextGrid
3.792,1.815,6.46,0.0973,0.0575,0.1549,0.718,3.78,1.855,226,124.54,59.6,35,22,13,26,ALL_139_M_PBR_ENG_ST1.TextGrid
3.401,1.669,6.15,0.05,0.125,0.175,0.652,2.181,1.744,80,47.94,23.52,14,4,10,11,ALL_146_F_VIE_ENG_ST1.TextGrid
3.457,1.813,5.52,0.0938,0.0938,0.1875,0.981,1.818,1.399,160,88.26,46.28,30,15,15,21,ALL_151_M_HEB_ENG_ST1.TextGrid
3.422,2.181,6.47,0.0894,0.0691,0.1585,0.681,1.525,1.049,246,112.8,71.89,39,22,17,36,ALL_151_M_HEB_ENG_ST2.TextGrid
