threshold,fallback_max_island_dur,overall_r,overall_icc,overall_mae,st1_r,st1_icc,st1_mae,st2_r,st2_icc,st2_mae,pauses_split_total,pred_islands_total,fallback_islands_total
0.3,0.35,0.903,0.892,0.063,0.823,0.826,0.069,0.947,0.929,0.057,214,264,301
0.3,0.45,0.902,0.879,0.0615,0.813,0.806,0.0677,0.949,0.92,0.0553,243,310,369
0.5,0.35,0.9,0.889,0.0639,0.823,0.826,0.069,0.944,0.926,0.0587,211,263,305
0.5,0.45,0.9,0.878,0.0623,0.813,0.806,0.0677,0.947,0.918,0.057,240,309,373
0.5,1.0,0.885,0.842,0.0755,0.826,0.798,0.0727,0.921,0.87,0.0783,271,366,474
0.3,1.0,0.885,0.841,0.0752,0.826,0.798,0.0727,0.922,0.869,0.0777,271,362,465
0.3,0.55,0.883,0.852,0.0697,0.813,0.799,0.0703,0.922,0.883,0.069,257,335,414
0.5,0.55,0.881,0.85,0.0699,0.813,0.799,0.0703,0.919,0.881,0.0693,254,334,418
0.3,0.7,0.873,0.837,0.0757,0.786,0.769,0.0779,0.924,0.877,0.0735,262,349,446
0.5,0.7,0.872,0.836,0.0748,0.786,0.769,0.0779,0.922,0.876,0.0716,259,348,450
