subset,measure,d_r_clf_vs_vad,d_icc_clf_vs_vad,d_mae_clf_vs_vad,d_r_clf_vs_base,d_icc_clf_vs_base,d_mae_clf_vs_base
Overall,AR,0.147,0.139,-0.1827,-0.032,0.034,-0.0556
Overall,SR,0.0,0.0,0.0,0.0,0.0,0.0
Overall,MLR,0.0,0.0,0.0,0.0,0.0,0.0
Overall,MCPR,0.0,-0.001,0.0,-0.002,-0.004,0.0004
Overall,ECPR,0.019,-0.016,0.0014,-0.04,-0.083,0.0058
Overall,PR,0.005,-0.008,0.0023,-0.013,-0.03,0.0069
Overall,MCPD,-0.006,0.006,-0.0155,-0.009,0.02,-0.0308
Overall,ECPD,0.102,0.097,-0.0772,-0.082,-0.048,0.051
Overall,MPD,0.09,0.096,-0.0888,-0.037,0.024,-0.0431
ST1,AR,0.109,0.098,-0.1707,-0.015,0.048,-0.0919
ST1,SR,0.0,0.0,0.0,0.0,0.0,0.0
ST1,MLR,0.0,0.0,0.0,0.0,0.0,0.0
ST1,MCPR,-0.006,-0.009,0.0004,-0.008,-0.012,0.0006
ST1,ECPR,0.029,-0.019,0.0022,-0.073,-0.114,0.0066
ST1,PR,0.001,-0.018,0.0046,-0.012,-0.035,0.0077
ST1,MCPD,-0.008,0.017,-0.0218,-0.011,0.019,-0.027
ST1,ECPD,0.181,0.164,-0.0928,-0.045,-0.011,0.0525
ST1,MPD,0.128,0.124,-0.0783,-0.032,0.023,-0.0264
ST2,AR,0.19,0.194,-0.1947,-0.052,0.019,-0.0194
ST2,SR,0.0,0.0,0.0,0.0,0.0,0.0
ST2,MLR,0.0,0.0,0.0,0.0,0.0,0.0
ST2,MCPR,0.006,0.005,-0.0003,0.004,0.002,0.0004
ST2,ECPR,0.019,-0.004,0.0005,-0.015,-0.053,0.005
ST2,PR,0.009,0.0,0.0001,-0.013,-0.025,0.0061
ST2,MCPD,-0.005,-0.002,-0.0094,-0.008,0.018,-0.0347
ST2,ECPD,0.03,0.022,-0.0616,-0.124,-0.098,0.0496
ST2,MPD,0.061,0.07,-0.0993,-0.038,0.024,-0.0599
