subset,measure,delta_clf_minus_vad_r,delta_clf_minus_vad_icc,delta_clf_minus_vad_mae,delta_clf_minus_base_r,delta_clf_minus_base_icc,delta_clf_minus_base_mae
Overall,AR,0.14700000000000002,0.139,-0.1827,-0.03199999999999992,0.03400000000000003,-0.05560000000000001
Overall,MCPR,0.0,-0.0010000000000000009,0.0,-0.0020000000000000018,-0.0040000000000000036,0.0003999999999999993
Overall,ECPR,0.019000000000000017,-0.015999999999999903,0.0014000000000000002,-0.040000000000000036,-0.08299999999999996,0.0058
Overall,PR,0.0050000000000000044,-0.008000000000000007,0.0023,-0.013000000000000012,-0.030000000000000027,0.0069
Overall,MCPD,-0.006000000000000005,0.006000000000000005,-0.015500000000000014,-0.009000000000000008,0.020000000000000018,-0.030799999999999994
Overall,ECPD,0.10199999999999998,0.09699999999999998,-0.07719999999999999,-0.08199999999999996,-0.04800000000000004,0.05099999999999999
Overall,MPD,0.09000000000000008,0.09600000000000009,-0.08880000000000002,-0.03699999999999992,0.02400000000000002,-0.0431
ST1,AR,0.10899999999999999,0.09799999999999998,-0.17070000000000002,-0.015000000000000013,0.04799999999999993,-0.09189999999999998
ST1,MCPR,-0.006000000000000005,-0.009000000000000008,0.0003999999999999993,-0.008000000000000007,-0.01200000000000001,0.0005999999999999998
ST1,ECPR,0.029000000000000026,-0.019000000000000017,0.0022000000000000023,-0.07299999999999995,-0.11399999999999999,0.006600000000000002
ST1,PR,0.0010000000000000009,-0.018000000000000016,0.0046,-0.01200000000000001,-0.03500000000000003,0.0077
ST1,MCPD,-0.008000000000000007,0.017000000000000015,-0.0218,-0.01100000000000001,0.019000000000000017,-0.026999999999999996
ST1,ECPD,0.18100000000000005,0.16400000000000003,-0.0928,-0.04500000000000004,-0.01100000000000001,0.05250000000000002
ST1,MPD,0.128,0.124,-0.07829999999999998,-0.03199999999999992,0.02300000000000002,-0.02639999999999998
ST2,AR,0.19000000000000006,0.19399999999999995,-0.19470000000000004,-0.051999999999999935,0.019000000000000017,-0.01940000000000003
ST2,MCPR,0.006000000000000005,0.0050000000000000044,-0.0002999999999999999,0.0040000000000000036,0.0020000000000000018,0.00040000000000000105
ST2,ECPR,0.019000000000000017,-0.0040000000000000036,0.0005000000000000004,-0.015000000000000013,-0.05300000000000005,0.004999999999999999
ST2,PR,0.009000000000000008,0.0,9.99999999999994e-05,-0.013000000000000012,-0.025000000000000022,0.0060999999999999995
ST2,MCPD,-0.0050000000000000044,-0.0020000000000000018,-0.009399999999999992,-0.008000000000000007,0.018000000000000016,-0.03470000000000001
ST2,ECPD,0.029999999999999916,0.02200000000000002,-0.06159999999999999,-0.124,-0.09799999999999998,0.049600000000000005
ST2,MPD,0.061000000000000054,0.07000000000000006,-0.0993,-0.03799999999999992,0.02400000000000002,-0.05990000000000001
