subset,measure,baseline_r,vad_r,clf_r,baseline_icc,vad_icc,clf_icc,baseline_mae,vad_mae,clf_mae,delta_clf_minus_vad_r,delta_clf_minus_vad_icc,delta_clf_minus_vad_mae,delta_clf_minus_base_r,delta_clf_minus_base_icc,delta_clf_minus_base_mae
Overall,AR,0.952,0.773,0.92,0.877,0.772,0.911,0.2964,0.4235,0.2408,0.14700000000000002,0.139,-0.1827,-0.03199999999999992,0.03400000000000003,-0.05560000000000001
Overall,SR,0.992,0.992,0.992,0.982,0.982,0.982,0.1161,0.1161,0.1161,0.0,0.0,0.0,0.0,0.0,0.0
Overall,MLR,0.991,0.991,0.991,0.975,0.975,0.975,0.46,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.0
Overall,MCPR,0.915,0.913,0.913,0.915,0.912,0.911,0.0094,0.0098,0.0098,0.0,-0.0010000000000000009,0.0,-0.0020000000000000018,-0.0040000000000000036,0.0003999999999999993
Overall,ECPR,0.891,0.832,0.851,0.888,0.821,0.805,0.0086,0.013,0.0144,0.019000000000000017,-0.015999999999999903,0.0014000000000000002,-0.040000000000000036,-0.08299999999999996,0.0058
Overall,PR,0.99,0.972,0.977,0.984,0.962,0.954,0.0074,0.012,0.0143,0.0050000000000000044,-0.008000000000000007,0.0023,-0.013000000000000012,-0.030000000000000027,0.0069
Overall,MCPD,0.955,0.952,0.946,0.878,0.892,0.898,0.1518,0.1365,0.121,-0.006000000000000005,0.006000000000000005,-0.015500000000000014,-0.009000000000000008,0.020000000000000018,-0.030799999999999994
Overall,ECPD,0.944,0.76,0.862,0.89,0.745,0.842,0.2228,0.351,0.2738,0.10199999999999998,0.09699999999999998,-0.07719999999999999,-0.08199999999999996,-0.04800000000000004,0.05099999999999999
Overall,MPD,0.953,0.826,0.916,0.89,0.818,0.914,0.175,0.2207,0.1319,0.09000000000000008,0.09600000000000009,-0.08880000000000002,-0.03699999999999992,0.02400000000000002,-0.0431
ST1,AR,0.964,0.84,0.949,0.896,0.846,0.944,0.2895,0.3683,0.1976,0.10899999999999999,0.09799999999999998,-0.17070000000000002,-0.015000000000000013,0.04799999999999993,-0.09189999999999998
ST1,SR,0.993,0.993,0.993,0.986,0.986,0.986,0.1007,0.1007,0.1007,0.0,0.0,0.0,0.0,0.0,0.0
ST1,MLR,0.997,0.997,0.997,0.988,0.988,0.988,0.348,0.348,0.348,0.0,0.0,0.0,0.0,0.0,0.0
ST1,MCPR,0.902,0.9,0.894,0.901,0.898,0.889,0.0097,0.0099,0.0103,-0.006000000000000005,-0.009000000000000008,0.0003999999999999993,-0.008000000000000007,-0.01200000000000001,0.0005999999999999998
ST1,ECPR,0.85,0.748,0.777,0.844,0.749,0.73,0.0092,0.0136,0.0158,0.029000000000000026,-0.019000000000000017,0.0022000000000000023,-0.07299999999999995,-0.11399999999999999,0.006600000000000002
ST1,PR,0.993,0.98,0.981,0.99,0.973,0.955,0.0055,0.0086,0.0132,0.0010000000000000009,-0.018000000000000016,0.0046,-0.01200000000000001,-0.03500000000000003,0.0077
ST1,MCPD,0.96,0.957,0.949,0.881,0.883,0.9,0.1298,0.1246,0.1028,-0.008000000000000007,0.017000000000000015,-0.0218,-0.01100000000000001,0.019000000000000017,-0.026999999999999996
ST1,ECPD,0.93,0.704,0.885,0.868,0.693,0.857,0.2442,0.3895,0.2967,0.18100000000000005,0.16400000000000003,-0.0928,-0.04500000000000004,-0.01100000000000001,0.05250000000000002
ST1,MPD,0.961,0.801,0.929,0.9,0.799,0.923,0.1629,0.2148,0.1365,0.128,0.124,-0.07829999999999998,-0.03199999999999992,0.02300000000000002,-0.02639999999999998
ST2,AR,0.941,0.699,0.889,0.861,0.686,0.88,0.3034,0.4787,0.284,0.19000000000000006,0.19399999999999995,-0.19470000000000004,-0.051999999999999935,0.019000000000000017,-0.01940000000000003
ST2,SR,0.993,0.993,0.993,0.979,0.979,0.979,0.1315,0.1315,0.1315,0.0,0.0,0.0,0.0,0.0,0.0
ST2,MLR,0.986,0.986,0.986,0.961,0.961,0.961,0.572,0.572,0.572,0.0,0.0,0.0,0.0,0.0,0.0
ST2,MCPR,0.927,0.925,0.931,0.93,0.927,0.932,0.009,0.0097,0.0094,0.006000000000000005,0.0050000000000000044,-0.0002999999999999999,0.0040000000000000036,0.0020000000000000018,0.00040000000000000105
ST2,ECPR,0.916,0.882,0.901,0.915,0.866,0.862,0.0079,0.0124,0.0129,0.019000000000000017,-0.0040000000000000036,0.0005000000000000004,-0.015000000000000013,-0.05300000000000005,0.004999999999999999
ST2,PR,0.988,0.966,0.975,0.98,0.955,0.955,0.0094,0.0154,0.0155,0.009000000000000008,0.0,9.99999999999994e-05,-0.013000000000000012,-0.025000000000000022,0.0060999999999999995
ST2,MCPD,0.953,0.95,0.945,0.881,0.901,0.899,0.1738,0.1485,0.1391,-0.0050000000000000044,-0.0020000000000000018,-0.009399999999999992,-0.008000000000000007,0.018000000000000016,-0.03470000000000001
ST2,ECPD,0.953,0.799,0.829,0.908,0.788,0.81,0.2013,0.3125,0.2509,0.029999999999999916,0.02200000000000002,-0.06159999999999999,-0.124,-0.09799999999999998,0.049600000000000005
ST2,MPD,0.945,0.846,0.907,0.884,0.838,0.908,0.1872,0.2266,0.1273,0.061000000000000054,0.07000000000000006,-0.0993,-0.03799999999999992,0.02400000000000002,-0.05990000000000001
