epoch,train_loss,train_f1,train_auc,val_loss,val_f1,val_auc
1,0.27095019921236385,0.8804153426750707,0.9539521916890267,0.22287937800841154,0.911504424778761,0.969465492206274
2,0.22018561825240102,0.906277769065914,0.9692811230374514,0.18757329779720547,0.9278617710583154,0.9771764266325499
3,0.20800581264488496,0.9142229888662381,0.9723790381100916,0.179185186008938,0.9289711579853638,0.9788768373351598
4,0.20125616538858573,0.9163815376021227,0.9742439356047279,0.18483794705113127,0.929602098819414,0.9773101668001709
5,0.19331944593855913,0.9202975557917109,0.9762656149394529,0.18783383840595588,0.9284436493738819,0.9780729810895649
6,0.18725626639759074,0.9224653473977857,0.977845498781774,0.19409690730934537,0.927992799279928,0.977150952314908
7,0.17947378733425268,0.9246448640536107,0.979672946768924,0.1804730629923465,0.9292576419213974,0.9791952663056862
8,0.17527226442477611,0.9255510061852078,0.9807891350080266,0.17916515657146623,0.9309123117803366,0.9793771246288533
9,0.16713244251311032,0.9282229965156794,0.9825894157569053,0.21562364228310932,0.9211009174311927,0.9745964443513531
10,0.16048489669114502,0.9310891572142944,0.983972263164197,0.1871842911021456,0.9408602150537635,0.9798066499290965
11,0.15293940114166368,0.9345339498661475,0.985519147479748,0.19542756828879948,0.9255273353422299,0.9771035417792963
12,0.14618496578081888,0.9358244200583414,0.9869131771740088,0.20943724954075651,0.9296909986565159,0.9738399986413696
13,0.1389462578881555,0.9384575344842544,0.9881745048393809,0.19672736558106427,0.927637314734089,0.9771927018910433
14,0.13028774291366063,0.9407240602806166,0.9896697908672686,0.20317594858905055,0.9371179039301311,0.9779491476010269
15,0.1056335115780705,0.9519008321535859,0.9931785409179283,0.25384414973016944,0.9280988089986767,0.9755375788642416
